
2024/12/24 (23:47:48) | ===> btop++ v.1.4.0
2024/12/24 (23:47:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/24 (23:47:48) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/12/24 (23:47:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/24 (23:47:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/24 (23:47:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/24 (23:47:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/24 (23:47:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/26 (15:03:53) | ===> btop++ v.1.4.0
2024/12/26 (15:03:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/26 (15:03:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/26 (23:23:50) | ===> btop++ v.1.4.0
2024/12/26 (23:23:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/26 (23:23:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/27 (14:36:01) | ===> btop++ v.1.4.0
2024/12/27 (14:36:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/27 (14:36:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/27 (16:41:16) | ===> btop++ v.1.4.0
2024/12/27 (16:41:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/27 (16:41:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/27 (17:02:26) | ===> btop++ v.1.4.0
2024/12/27 (17:02:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/27 (17:02:26) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/27 (19:42:02) | ===> btop++ v.1.4.0
2024/12/27 (19:42:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/27 (19:42:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/27 (20:30:29) | ===> btop++ v.1.4.0
2024/12/27 (20:30:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/27 (20:30:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/27 (21:43:25) | ===> btop++ v.1.4.0
2024/12/27 (21:43:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/27 (21:43:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/27 (22:44:25) | ===> btop++ v.1.4.0
2024/12/27 (22:44:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/27 (22:44:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/28 (00:23:40) | ===> btop++ v.1.4.0
2024/12/28 (00:23:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/28 (00:23:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/28 (13:49:19) | ===> btop++ v.1.4.0
2024/12/28 (13:49:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/28 (13:49:19) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/28 (14:31:22) | ===> btop++ v.1.4.0
2024/12/28 (14:31:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/28 (14:31:22) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/28 (16:52:53) | ===> btop++ v.1.4.0
2024/12/28 (16:52:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/28 (16:52:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/31 (13:31:56) | ===> btop++ v.1.4.0
2024/12/31 (13:31:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/31 (13:31:56) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/31 (13:38:38) | ===> btop++ v.1.4.0
2024/12/31 (13:38:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/31 (13:38:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/31 (13:57:02) | ===> btop++ v.1.4.0
2024/12/31 (13:57:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/31 (13:57:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/31 (14:12:24) | ===> btop++ v.1.4.0
2024/12/31 (14:12:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/31 (14:12:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/31 (14:23:58) | ===> btop++ v.1.4.0
2024/12/31 (14:23:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
